Det File Crosshead Load1 Load2 sampX sampY I0 Trans  dH1 ddH1 dV1 ddV1 dXY1 ddXY1 PeakInt1 mFWHM1 dHplus1 dHminus1  dH2 ddH2 dV2 ddV2 dXY2 ddXY2 PeakInt2 mFWHM2 dHplus2 dHminus2  dH3 ddH3 dV3 ddV3 dXY3 ddXY3 PeakInt3 mFWHM3 dHplus3 dHminus3  dH4 ddH4 dV4 ddV4 dXY4 ddXY4 PeakInt4 mFWHM4 dHplus4 dHminus4 dH5 ddH5 dV5 ddV5 dXY5 ddXY5 PeakInt5 mFWHM5 dHplus5 dHminus5 
5 5650 -25.628800 1784.710000 1696.720000 4.300000 -0.199992 3.225175e+08 0.255392 1.993215 0.000067 1.995509 0.000092 1.994390 0.000071 1312.670866 2.896154 1.985968 2.000516 1.409990 0.000047 1.412207 0.000122 1.410905 0.000037 252.685354 3.120479 1.406765 1.413230 0.997365 0.000022 0.998418 0.000138 0.997852 0.000033 111.859808 3.808088 0.995503 0.999234 0.892067 0.000054 0.893044 0.000081 0.892624 0.000045 121.247534 4.196499 0.890479 0.893662 0.814403 0.000026 0.815382 0.000119 0.814834 0.000037 29.289909 4.296000 0.813015 0.815797
5 5651 -25.628800 1784.560000 1697.660000 4.320000 -0.199992 3.233566e+08 0.254671 1.993095 0.000073 1.995406 0.000107 1.994450 0.000092 1343.902848 2.899562 1.985852 2.000390 1.409976 0.000047 1.411968 0.000160 1.410884 0.000043 255.658148 3.098543 1.406764 1.413204 0.997324 0.000024 0.998362 0.000148 0.997798 0.000036 109.635059 3.768292 0.995470 0.999185 0.892081 0.000044 0.893062 0.000108 0.892601 0.000043 121.844015 4.197005 0.890494 0.893674 0.814430 0.000026 0.815199 0.000119 0.814819 0.000043 27.916590 4.309334 0.813038 0.815826
5 5652 -25.628900 1784.450000 1696.830000 4.340000 -0.199992 3.230769e+08 0.254170 1.993127 0.000072 1.995333 0.000112 1.994405 0.000083 1336.665000 2.903312 1.985878 2.000430 1.409996 0.000046 1.411700 0.000184 1.410807 0.000042 263.071304 3.123185 1.406785 1.413222 0.997279 0.000023 0.998323 0.000128 0.997786 0.000038 109.317440 3.783015 0.995402 0.999162 0.892064 0.000036 0.893079 0.000128 0.892622 0.000042 119.945612 4.234038 0.890466 0.893668 0.814447 0.000028 0.815226 0.000151 0.814683 0.000042 28.399403 4.377981 0.813062 0.815836
5 5653 -25.628500 1785.520000 1699.570000 4.360000 -0.199992 3.230769e+08 0.254690 1.993059 0.000067 1.995288 0.000150 1.994329 0.000095 1363.860572 2.916712 1.985821 2.000350 1.409951 0.000044 1.411787 0.000176 1.410874 0.000042 257.370644 3.150473 1.406692 1.413225 0.997253 0.000020 0.998307 0.000131 0.997809 0.000037 109.702109 3.805744 0.995355 0.999158 0.892081 0.000042 0.893032 0.000143 0.892602 0.000046 119.972006 4.333776 0.890470 0.893698 0.814357 0.000026 0.815221 0.000134 0.814683 0.000039 28.338018 4.379955 0.812950 0.815769
5 5654 -25.628400 1784.680000 1697.770000 4.380000 -0.199992 3.222378e+08 0.255353 1.993043 0.000071 1.995353 0.000147 1.994267 0.000110 1357.190493 2.903064 1.985815 2.000324 1.409964 0.000043 1.411904 0.000137 1.410803 0.000043 245.045720 3.231391 1.406701 1.413242 0.997258 0.000019 0.998193 0.000126 0.997792 0.000033 113.041582 3.807085 0.995333 0.999190 0.892097 0.000045 0.892965 0.000143 0.892572 0.000045 121.446697 4.369361 0.890467 0.893734 0.814377 0.000028 0.815151 0.000095 0.814735 0.000049 28.921497 4.353946 0.812964 0.815794
5 5655 -25.628600 1784.610000 1698.800000 4.400000 -0.199992 3.223776e+08 0.256052 1.993147 0.000075 1.995306 0.000115 1.994225 0.000091 1345.562912 2.892472 1.985890 2.000459 1.410006 0.000044 1.411789 0.000157 1.410838 0.000045 249.894097 3.184175 1.406741 1.413286 0.997276 0.000023 0.998176 0.000119 0.997739 0.000034 111.235235 3.767762 0.995359 0.999200 0.892093 0.000057 0.892972 0.000148 0.892602 0.000041 121.797086 4.335614 0.890486 0.893706 0.814400 0.000027 0.815144 0.000095 0.814840 0.000037 28.131024 4.388143 0.812975 0.815831
5 5656 -25.628700 1784.200000 1698.460000 4.420000 -0.199992 3.233566e+08 0.255738 1.993227 0.000074 1.995301 0.000127 1.994190 0.000094 1318.905525 2.893229 1.985936 2.000571 1.409996 0.000043 1.411506 0.000193 1.410879 0.000038 258.329083 3.113936 1.406710 1.413298 0.997351 0.000020 0.998128 0.000120 0.997723 0.000032 113.475907 3.792643 0.995437 0.999272 0.892110 0.000049 0.892973 0.000132 0.892604 0.000044 124.495711 4.393051 0.890519 0.893707 0.814365 0.000025 0.814958 0.000097 0.814855 0.000039 29.929133 4.319079 0.812934 0.815801
5 5657 -25.628800 1784.860000 1698.600000 4.440000 -0.199992 3.232168e+08 0.255214 1.993221 0.000074 1.995349 0.000123 1.994136 0.000102 1360.284238 2.901462 1.985915 2.000581 1.409934 0.000040 1.411183 0.000193 1.410872 0.000037 257.000688 3.189756 1.406602 1.413282 0.997342 0.000026 0.998140 0.000136 0.997669 0.000036 112.445394 3.863663 0.995381 0.999310 0.892097 0.000068 0.892984 0.000128 0.892593 0.000029 127.473747 4.414737 0.890499 0.893701 0.814308 0.000020 0.814901 0.000103 0.814733 0.000033 29.996506 4.337238 0.812853 0.815768
5 5658 -25.628500 1784.860000 1697.560000 4.460000 -0.199992 3.229371e+08 0.255118 1.993078 0.000070 1.995472 0.000129 1.994081 0.000103 1375.304858 2.900888 1.985821 2.000388 1.409896 0.000039 1.411265 0.000153 1.410787 0.000038 255.544572 3.182572 1.406550 1.413259 0.997228 0.000023 0.998148 0.000131 0.997654 0.000031 110.235016 3.924094 0.995240 0.999224 0.892101 0.000061 0.892940 0.000131 0.892543 0.000031 122.742867 4.345738 0.890485 0.893722 0.814335 0.000026 0.814926 0.000079 0.814765 0.000028 29.487997 4.337228 0.812854 0.815822
5 5659 -25.628600 1784.750000 1696.380000 4.480000 -0.199992 3.230769e+08 0.254574 1.993064 0.000076 1.995300 0.000176 1.994083 0.000105 1322.813098 2.898533 1.985775 2.000408 1.410017 0.000040 1.411458 0.000175 1.410736 0.000041 260.189888 3.114498 1.406651 1.413400 0.997229 0.000023 0.998053 0.000128 0.997613 0.000026 110.279754 3.800368 0.995258 0.999208 0.892097 0.000064 0.892776 0.000127 0.892583 0.000028 123.131183 4.341213 0.890454 0.893746 0.814354 0.000031 0.814890 0.000070 0.814753 0.000030 28.719543 4.311006 0.812858 0.815856
